Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
from aws to azure,30,LOW,7,,,No,
azure spring cloud,30,LOW,7,,,No,
azure iot certification,30,LOW,16,,,No,
azure portal dashboard,30,LOW,11,179.13,1707.83,No,
cost management azure,30,MEDIUM,45,419.81,1525.86,No,
advantages of azure over aws,30,LOW,0,,,No,
azure active directory basic,30,LOW,21,208.89,1303.79,No,
gcp azure aws,30,LOW,4,,,No,
az 204 questions,30,MEDIUM,37,100.41,363.86,No,
azure enterprise portal,30,LOW,12,176.61,1075.81,No,
data lake in azure,30,LOW,29,67.92,903.15,No,
azure developer certification az 204,30,MEDIUM,55,105.79,498.46,No,
