Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
azure data services,210,LOW,26,231.30,896.51,No,
azure cloud architecture,210,MEDIUM,51,268.95,952.54,No,
azure gcc,210,LOW,21,314.68,3137.79,No,
azure compute services,210,LOW,10,253.71,973.61,No,
azure data scientist associate,210,MEDIUM,34,178.04,814.03,No,
azure database administrator associate,210,MEDIUM,44,136.27,797.90,No,
machine learning microsoft,210,LOW,19,208.89,869.36,No,
az 104 questions,210,LOW,7,109.37,443.77,No,
microsoft azure iaas,210,LOW,6,311.09,896.51,No,
netapp azure,210,LOW,16,259.99,1809.16,No,
azure compared to aws,210,LOW,9,243.65,1091.95,No,
aws gcp azure,210,LOW,15,242.95,1378.84,No,
azure aci,210,LOW,1,,,No,
azure managed grafana,210,LOW,2,,,No,
microsoft azure what is it,210,LOW,9,131.95,410.60,No,
power automate solutions,210,LOW,13,352.33,1247.05,Yes,Bouquet INR - 2
learn ms azure,210,MEDIUM,60,215.25,924.30,No,
b2b azure,210,LOW,4,690.88,3673.01,No,
azure devops course,170,HIGH,68,156.11,825.69,No,
azure cloud server,170,MEDIUM,53,313.78,1613.72,No,
azure server pricing,170,MEDIUM,53,179.30,928.79,No,
azure project management,170,MEDIUM,51,285.99,972.72,No,
rdp azure,170,MEDIUM,42,319.16,3274.06,No,
microsoft azure databricks,170,LOW,18,233.84,1216.57,No,
azure dp 203,170,MEDIUM,43,188.27,856.32,Yes,Bouquet INR - 2
azure security services,170,LOW,28,1066.83,3137.79,No,
microsoft iot,170,LOW,13,449.15,1195.05,No,
azure data lake analytics,170,LOW,9,397.16,1342.98,No,
microsoft devops certification,170,LOW,24,159.58,863.34,No,
azure training courses,170,MEDIUM,47,280.61,1041.75,Yes,Bouquet INR - 2
microsoft azure data studio,170,LOW,16,334.40,1683.66,No,
microsoft azure administrator certification,170,MEDIUM,38,162.01,710.04,Yes,Bouquet INR - 2
azure hybrid cloud,170,LOW,23,297.64,1029.20,No,
azure power automate,170,LOW,13,274.33,1613.72,No,
az 104 practice exam,170,MEDIUM,49,173.10,1155.60,No,
azure fedramp,170,MEDIUM,35,434.81,2024.59,No,
microsoft azure com,170,LOW,33,215.16,1595.79,No,
microsoft azure certification course,170,LOW,12,276.13,859.76,Yes,Bouquet INR - 2
microsoft az 500,170,LOW,27,190.96,747.69,No,
azure google cloud aws,170,LOW,12,441.27,1353.73,No,
aws azure google cloud,170,LOW,12,441.27,1353.73,No,
az 103,170,LOW,4,,,No,
microsoft fundamentals,170,LOW,28,152.41,508.32,No,
azure terraform provider,170,LOW,3,251.02,927.15,No,
ai 900 microsoft azure ai fundamentals,170,MEDIUM,49,170.34,671.76,No,
azure training classes,170,MEDIUM,47,280.61,1041.75,No,
microsoft azure cloud computing certification,170,MEDIUM,50,173.03,797.00,No,
azure dynamics,170,LOW,8,359.79,1284.70,No,
spark azure,170,LOW,6,296.75,835.55,No,
microsoft ai learning,170,MEDIUM,51,207.09,711.83,No,
microsoft azure certification courses,170,LOW,12,276.13,859.76,Yes,Bouquet INR - 2
azure signalr service,170,LOW,3,,,No,
microsoft aip,170,LOW,10,643.70,2882.29,No,
devops microsoft certification,170,LOW,24,159.58,863.34,No,
az 104 course,140,MEDIUM,54,261.08,1882.68,No,
azure learning path,140,MEDIUM,40,108.48,728.86,No,
azure iot central,140,LOW,16,308.98,1144.85,No,
azure cloud training,140,HIGH,69,250.92,872.56,Yes,Bouquet INR - 2; Flexi
azure certification courses,140,MEDIUM,38,224.13,762.93,Yes,Bouquet INR - 2
azure patch management,140,LOW,30,1669.31,3378.96,No,
azure online training,140,MEDIUM,66,372.05,824.79,Yes,Bouquet INR - 2
azure portal com,140,LOW,19,105.69,1363.00,No,
azure windows server,140,MEDIUM,35,399.84,2261.34,No,
azure data engineer training,140,LOW,24,233.09,796.63,Yes,Bouquet INR - 2
microsoft azure database,140,MEDIUM,35,339.78,1389.59,No,
azure active directory portal,140,LOW,33,244.75,1517.20,No,
azure fundamentals training,140,MEDIUM,39,189.44,688.52,Yes,Bouquet INR - 2
azure management,140,LOW,27,287.47,1793.02,No,
azure active directory b2c,140,LOW,28,541.49,1750.89,No,
azure fundamentals course,140,LOW,17,167.56,542.72,No,
azure cost analysis,140,LOW,32,453.64,1878.19,No,
microsoft sentinel training,140,MEDIUM,47,242.95,1577.86,No,
azure linux vm,140,LOW,10,203.51,520.87,No,
azure search service,140,LOW,14,238.47,1108.09,No,
azure data certification,140,MEDIUM,36,145.24,568.39,No,
best azure certification,140,LOW,28,199.03,665.21,No,
docs microsoft azure,140,LOW,9,381.02,1353.87,No,
azure it,140,LOW,17,256.40,616.80,No,
microsoft azure kinect,140,LOW,7,71.93,533.66,No,
azure lakehouse,140,MEDIUM,38,188.27,576.46,No,
azure webapps,140,LOW,12,292.08,1064.82,No,
azure office 365,140,LOW,24,217.85,745.00,No,
azure visual studio,140,LOW,8,266.26,1863.34,No,
azure wordpress,140,LOW,24,722.06,1524.07,No,
azure kubernetes service pricing,140,LOW,6,341.57,1018.44,No,
github azure,140,LOW,4,703.76,3022.73,No,
microsoft azure docs,140,LOW,9,381.02,1353.87,No,
azure basic,140,MEDIUM,43,199.92,813.78,No,
nosql azure,140,LOW,10,277.92,1091.06,No,
azure certification classes,140,MEDIUM,38,224.13,762.93,Yes,Bouquet INR - 2
azure is,140,LOW,17,256.40,616.80,No,
azure ai course,140,HIGH,72,201.72,571.08,No,
azure hosting pricing,110,MEDIUM,50,180.77,1344.77,No,
microsoft azure platform,110,LOW,22,262.68,1039.06,No,
azure paas services,110,LOW,24,199.92,486.81,No,
azure web hosting pricing,110,MEDIUM,54,267.79,1236.34,No,
azure cloud certification path,110,MEDIUM,39,129.75,520.87,No,
azure monitoring services,110,MEDIUM,38,698.38,2632.71,No,
azure data factory training,110,LOW,31,161.28,689.42,No,
azure data science,110,MEDIUM,35,209.68,1183.40,No,
azure data platform,110,LOW,30,268.95,1185.19,No,
azure course online,110,HIGH,75,231.40,1204.91,No,
azure b2c pricing,110,LOW,3,,,No,
azure data migration,110,MEDIUM,36,433.02,1262.29,No,
