Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
microsoft certified power bi data analyst,70,HIGH,72,223.25,767.49,No,
microsoft power bi for dummies,70,HIGH,68,122.83,972.16,No,
power bi datacamp,70,LOW,33,131.80,607.89,No,
power bi desktop course,70,MEDIUM,49,192.77,723.37,No,
microsoft power bi exam,70,MEDIUM,35,185.60,453.68,No,
best power bi training courses,70,HIGH,85,280.64,994.33,No,
power bi training youtube,70,LOW,15,98.63,720.23,No,
power bi web service,70,LOW,30,449.20,1352.95,No,
bi analyst training,70,HIGH,69,546.93,1251.65,No,
power bi teams,70,LOW,7,330.10,658.86,No,
edx power bi course,70,LOW,9,,,No,
microsoft power bi online training,70,HIGH,86,124.63,733.42,Yes,Bouquet INR - 2
microsoft certification power bi data analyst,70,HIGH,72,223.25,767.49,No,
power pivot in power bi,70,LOW,8,,,No,
microsoft business intelligence training,70,HIGH,79,226.84,769.28,Yes,Flexi
edx courses power bi,70,LOW,9,,,No,
powerbi experience,70,LOW,26,219.67,485.06,No,
get data power bi,70,LOW,6,,,No,
power bi get data,70,LOW,6,,,No,
power bi course edx,70,LOW,9,,,No,
microsoft powerbi exam,70,MEDIUM,35,185.60,453.68,No,
power bi edx course,70,LOW,9,,,No,
power bi training for beginners,50,MEDIUM,65,182.91,705.64,Yes,Bouquet INR - 2
power bi full course,50,HIGH,73,144.35,498.51,Yes,Bouquet INR - 2
microsoft data analyst associate certification,50,MEDIUM,46,227.74,769.28,No,
power bi and tableau courses,50,HIGH,77,465.24,1670.37,No,
gartner power bi,50,LOW,10,339.81,1166.48,No,
da 100 certification,50,MEDIUM,42,119.44,847.29,No,
power bi course with certificate,50,HIGH,80,208.91,777.35,No,
power bi financial reporting,50,MEDIUM,44,433.95,2050.52,No,
power bi hubspot,50,LOW,25,623.14,3059.20,No,
exam pl 300 microsoft power bi data analyst,50,MEDIUM,66,313.81,855.36,No,
power bi lessons,50,HIGH,78,223.25,632.10,No,
power bi dax training,50,MEDIUM,47,142.56,701.95,No,
microsoft data analyst course,50,MEDIUM,65,267.19,1024.81,No,
best power bi certification course,50,HIGH,77,206.77,661.69,No,
power bi fundamentals,50,MEDIUM,53,164.08,453.68,No,
power bi free certification,50,MEDIUM,57,110.07,395.40,No,
azure power bi certification,50,LOW,26,126.80,409.12,No,
power bi beginner course,50,HIGH,73,190.15,631.21,Yes,Bouquet INR - 2
sap power bi,50,LOW,29,440.23,3402.60,No,
best power bi course online,50,LOW,10,,,No,
power bi mongodb,50,LOW,26,243.88,5730.17,No,
microsoft bi stack,50,LOW,11,197.25,746.53,No,
power query certification,50,MEDIUM,63,133.59,608.79,No,
linkedin power bi course,50,MEDIUM,37,225.05,520.92,No,
power bi certification online,50,HIGH,70,334.37,988.24,Yes,Bouquet INR - 2
microsoft office power bi,50,MEDIUM,36,264.50,1072.92,No,
bi analysis,50,MEDIUM,34,262.70,1235.51,No,
power bi self service,50,LOW,7,,,No,
power bi sentiment analysis,50,LOW,19,250.42,1252.34,No,
azure devops power bi,50,LOW,8,,,No,
microsoft power bi pl 300,50,LOW,30,197.25,649.75,No,
microsoft power bi analyst certification,50,MEDIUM,60,355.95,1144.50,No,
power bi w3schools,50,LOW,17,111.18,390.92,No,
udemy power bi training,50,LOW,21,,,No,
power bi certification course online,50,UNSPECIFIED,0,,,Yes,Bouquet INR - 2
power bi training program,50,LOW,25,756.73,1593.26,No,
power bi google sheets,50,LOW,4,,,No,
power bi for data analytics,50,LOW,3,,,No,
power bi pl 300 certification,50,MEDIUM,58,190.08,669.56,No,
power bi training courses online,50,MEDIUM,40,344.56,1662.30,Yes,Bouquet INR - 2
power bi appsource,50,LOW,8,631.21,8786.68,No,
udemy pl 300,50,LOW,23,91.45,365.08,No,
power bi reporting services,50,LOW,27,554.10,3013.93,No,
power bi mysql,50,LOW,2,,,No,
power bi publisher for excel,50,LOW,13,311.88,1070.54,No,
learn power bi quickly,50,HIGH,80,178.42,588.65,No,
power bi in teams,50,LOW,8,,,No,
bi training courses,50,LOW,23,207.11,1200.55,Yes,Bouquet INR - 2; Flexi
advanced power bi dashboard,50,MEDIUM,37,304.84,698.45,No,
inforiver power bi,50,LOW,31,381.95,8786.68,No,
power bi associate certification,50,MEDIUM,61,181.11,777.35,No,
free online power bi courses,50,MEDIUM,59,138.97,555.00,No,
alteryx power bi,50,LOW,15,430.30,735.21,No,
bi is,50,LOW,0,,,No,
power bi bigquery,50,LOW,5,,,No,
microsoft power bi pl300,50,LOW,30,197.25,649.75,No,
power bi powershell,50,LOW,1,,,No,
power bi course certification,40,HIGH,68,273.63,716.11,Yes,Bouquet INR - 2
power bi course fees,40,MEDIUM,43,,,No,
power bi course udemy,40,LOW,29,58.28,333.18,No,
power bi training in person,40,HIGH,85,306.64,1736.71,No,
dax course,40,HIGH,70,189.18,532.58,No,
edx power bi,40,HIGH,69,80.69,537.96,No,
business central power bi,40,MEDIUM,34,645.55,3480.68,No,
power bi developer training,40,LOW,25,209.62,729.83,No,
microsoft power bi bootcamp,40,LOW,26,360.70,1125.23,No,
free power bi course with certificate,40,HIGH,81,158.13,569.51,No,
www powerbi,40,LOW,7,161.39,383.50,No,
